id,type,title,genre,description,published_at,content_rating,rating_value,rating_count,duration,keywords,directors,actors
tt1981080,Movie,Tai ji 1: Cong ling kai shi,"['Action', 'Adventure', 'Drama']","Yang travels to Chen Village to learn a powerful form of Tai Chi. Though villagers are forbidden from teaching outsiders, Yang becomes their best hope for survival when a man arrives with a plan to build a railroad through the vil...",2012-09-27,PG-13,6,5252,100,"['steampunk', 'steampunk fantasy', '3d', '3 dimensional', 'man']",['Stephen Fung'],"['Hark-On Fung', 'Xiaochao Yuan', 'Stephen Fung']"
tt3043630,Movie,Xiao shi dai,"['Drama', 'Romance']","When four best friends try and move forward in their work and personal life, they realize that trying to live their life's dream is more difficult than they imagine -- especially in the high fashion world of Shanghai.",2013-06-27,Not Rated,3.3,2424,116,"['friendship', 'money']",['Jingming Guo'],"['Mi Yang', 'Amber Kuo', 'Kai Ko']"
tt0316654,Movie,Spider-Man 2,"['Action', 'Adventure', 'Sci-Fi']",Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,2004-07-14,6,7.5,701690,127,"['spider man character', 'peter parker character', 'superhero action', 'chocolate cake', 'chainsaw']",['Sam Raimi'],"['Tobey Maguire', 'Kirsten Dunst', 'Alfred Molina']"
tt0770752,Movie,Fool's Gold,"['Action', 'Adventure', 'Comedy']",A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,2008-05-01,12,5.7,84085,112,"['treasure hunter', 'silt', 'mercenary', 'caribbean island', 'pregnancy']",['Andy Tennant'],"['Matthew McConaughey', 'Kate Hudson', 'Donald Sutherland']"
tt0772178,Movie,Kickin' It Old Skool,"['Comedy', 'Sport']","A young breakdancer hits his head during a talent show and slips into a coma for twenty years. Waking up in 2006, he looks to revive his and his team's career with the help of his girlfriend and his parents.",2007-04-27,AL,4.6,7376,109,"['1980s', 'hospital room', 'homeless man', 'cardboard', 'old man']",['Harvey Glazer'],"['Jamie Kennedy', 'Maria Menounos', 'Miguel A. Núñez Jr.']"
tt0090274,Movie,Volunteers,"['Adventure', 'Comedy']","1962, after Yale graduation, womanizing Lawrence flees a gambling debt that his rich dad won't pay. He takes his roomie's place as Peace Corps Volunteer in Thai Golden Triangle with 2 other PCVs. Will he survive 2 years?",1986-03-27,6,5.5,10422,107,"['american abroad', 'wisecrack humor', 'jungle', 'culture clash', 'bridge']",['Nicholas Meyer'],"['Tom Hanks', 'John Candy', 'Rita Wilson']"
tt0466943,Movie,Randy and the Mob,"['Comedy', 'Crime']","A good ol' boy (McKinnon) gets into trouble with some mobsters, and then must seek assistance from his estranged, identical twin gay brother.",2007-10-13,PG,5.8,408,91,"['ex convict', 'gay character', 'man dances with a man', 'mobster', 'boy']",['Ray McKinnon'],"['Ray McKinnon', 'Walton Goggins', 'Lisa Blount']"
tt0192949,Movie,Stardom,"['Drama', 'Comedy']",A young girl is plucked from small-town obscurity and thrust into the spotlight of the glamorous world of super-models.,2000-10-13,R,5.7,1794,100,"['bikini', 'female rear nudity', 'female frontal nudity', 'full frontal female', 'female full frontal nudity']",['Denys Arcand'],"['Jessica Paré', 'Victoria Snow', 'Jessica Mackenzie']"
tt0120769,Movie,The Newton Boys,"['Action', 'Crime', 'Drama']","The story of the Newton gang, the most successful bank robbers in history, owing to their good planning and minimal violence.",1998-03-27,12,6.1,12327,122,"['bank robber', 'train', 'brother brother relationship', 'explosive', 'crime spree']",['Richard Linklater'],"['Matthew McConaughey', 'Ethan Hawke', 'Skeet Ulrich']"
tt0110907,Movie,Prêt-à-Porter,"['Comedy', 'Drama']",A chronicle of the interconnected lives of a group of people in the lead up to Paris Fashion Week.,1995-04-27,16,5.2,15828,133,"['public nudity', 'fashion model', 'female full frontal nudity', 'fashion', 'fashion show']",['Robert Altman'],"['Sophia Loren', 'Julia Roberts', 'Marcello Mastroianni']"
tt0099594,Movie,Fools of Fortune,"['Drama', 'Romance']",A Protestant Irish family is caught up in a conflict between Irish Republicans and the British army.,1990-06-22,PG-13,5.3,255,109,"['family relationships', 'republican', 'ireland', 'revenge', 'black and tans']","[""Pat O'Connor""]","['Iain Glen', 'Mary Elizabeth Mastrantonio', 'Sean T. McClory']"
tt0770772,Movie,I Think I Love My Wife,"['Comedy', 'Drama', 'Romance']",A married man who daydreams about being with other women finds his will and morals tested after he's visited by the ex-mistress of his old friend.,2007-03-16,6,5.5,17523,94,"['hot', 'repetition in title', 'sex comedy', 'indian sex comedy', 'new york city']",['Chris Rock'],"['Chris Rock', 'Kerry Washington', 'Gina Torres']"
tt0094082,Movie,Suspect,"['Crime', 'Drama', 'Mystery']","When a homeless man is accused of murdering a Justice Department file clerk, a public defender is tasked with mounting his legal defense.",1988-02-11,12,6.6,11566,121,"['jury', 'deaf mute', 'suicide', 'judge', 'murder']",['Peter Yates'],"['Cher', 'Dennis Quaid', 'Liam Neeson']"
tt0093011,Movie,Fatal Beauty,"['Action', 'Comedy', 'Crime']","Rita is a tough narc cop with a wig for every occasion. Outside a drug heist scene with several bodies and a hardly cut fatal drug, Fatal Beauty, she finds a Kroll Construction van with a dead Kroll employee in it. Who is Kroll?",1988-04-21,16,5.4,3995,104,"['female police officer', 'wisecrack humor', 'action heroine', 'tough girl', 'one woman army']",['Tom Holland'],"['Whoopi Goldberg', 'Sam Elliott', 'Rubén Blades']"
